itl2_code,itl2_name,year,gdhi_per_head_gbp
TLC3,Tees Valley,1997,8986
TLC4,"Northumberland, Durham and Tyne & Wear",1997,9113
TLD1,Cumbria,1997,9768
TLD3,Greater Manchester,1997,9476
TLD4,Lancashire,1997,9345
TLD6,Cheshire,1997,11145
TLD7,Merseyside,1997,9182
TLE1,East Yorkshire and Northern Lincolnshire,1997,9047
TLE2,North Yorkshire,1997,11140
TLE3,South Yorkshire,1997,8930
TLE4,West Yorkshire,1997,9453
TLF1,Derbyshire and Nottinghamshire,1997,9177
TLF2,"Leicestershire, Rutland and Northamptonshire",1997,10195
TLF3,Lincolnshire,1997,9821
TLG1,"Herefordshire, Worcestershire and Warwickshire",1997,10982
TLG2,Shropshire and Staffordshire,1997,9882
TLG3,West Midlands,1997,8961
TLH2,Bedfordshire and Hertfordshire,1997,12256
TLH3,Essex,1997,11425
TLH4,Cambridgeshire and Peterborough,1997,10974
TLH5,Norfolk,1997,9757
TLH6,Suffolk,1997,10016
TLI3,Inner London - West,1997,20580
TLI4,Inner London - East,1997,10846
TLI5,Outer London - East and North East,1997,10957
TLI6,Outer London - South,1997,12552
TLI7,Outer London - West and North West,1997,12881
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1997,13407
TLJ2,"Surrey, East and West Sussex",1997,13751
TLJ3,Hampshire and Isle of Wight,1997,11566
TLJ4,Kent,1997,11406
TLK3,Cornwall and Isles of Scilly,1997,9664
TLK4,Devon,1997,10343
TLK5,West of England,1997,11159
TLK6,"North Somerset, Somerset and Dorset",1997,11363
TLK7,Gloucestershire and Wiltshire,1997,11528
TLL3,North Wales,1997,9680
TLL4,Mid and South West Wales,1997,9349
TLL5,South East Wales,1997,9021
TLM0,Eastern Scotland,1997,9527
TLM1,East Central Scotland,1997,10443
TLM2,Highlands and Islands,1997,8730
TLM3,West Central Scotland,1997,9220
TLM5,North Eastern Scotland,1997,10913
TLM9,Southern Scotland,1997,9103
TLN0,Northern Ireland,1997,8613
TLC3,Tees Valley,1998,8810
TLC4,"Northumberland, Durham and Tyne & Wear",1998,9259
TLD1,Cumbria,1998,10150
TLD3,Greater Manchester,1998,9582
TLD4,Lancashire,1998,9461
TLD6,Cheshire,1998,11269
TLD7,Merseyside,1998,9335
TLE1,East Yorkshire and Northern Lincolnshire,1998,9268
TLE2,North Yorkshire,1998,11767
TLE3,South Yorkshire,1998,9086
TLE4,West Yorkshire,1998,9637
TLF1,Derbyshire and Nottinghamshire,1998,9442
TLF2,"Leicestershire, Rutland and Northamptonshire",1998,10268
TLF3,Lincolnshire,1998,10039
TLG1,"Herefordshire, Worcestershire and Warwickshire",1998,11404
TLG2,Shropshire and Staffordshire,1998,10183
TLG3,West Midlands,1998,9158
TLH2,Bedfordshire and Hertfordshire,1998,12506
TLH3,Essex,1998,11550
TLH4,Cambridgeshire and Peterborough,1998,11240
TLH5,Norfolk,1998,9920
TLH6,Suffolk,1998,10090
TLI3,Inner London - West,1998,21604
TLI4,Inner London - East,1998,11186
TLI5,Outer London - East and North East,1998,11183
TLI6,Outer London - South,1998,12936
TLI7,Outer London - West and North West,1998,13309
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1998,13625
TLJ2,"Surrey, East and West Sussex",1998,14126
TLJ3,Hampshire and Isle of Wight,1998,11662
TLJ4,Kent,1998,11422
TLK3,Cornwall and Isles of Scilly,1998,9887
TLK4,Devon,1998,10495
TLK5,West of England,1998,11406
TLK6,"North Somerset, Somerset and Dorset",1998,11658
TLK7,Gloucestershire and Wiltshire,1998,11671
TLL3,North Wales,1998,9723
TLL4,Mid and South West Wales,1998,9415
TLL5,South East Wales,1998,9054
TLM0,Eastern Scotland,1998,9790
TLM1,East Central Scotland,1998,10740
TLM2,Highlands and Islands,1998,8917
TLM3,West Central Scotland,1998,9404
TLM5,North Eastern Scotland,1998,11084
TLM9,Southern Scotland,1998,9308
TLN0,Northern Ireland,1998,8633
TLC3,Tees Valley,1999,9253
TLC4,"Northumberland, Durham and Tyne & Wear",1999,9575
TLD1,Cumbria,1999,10432
TLD3,Greater Manchester,1999,10191
TLD4,Lancashire,1999,9820
TLD6,Cheshire,1999,11888
TLD7,Merseyside,1999,9812
TLE1,East Yorkshire and Northern Lincolnshire,1999,9846
TLE2,North Yorkshire,1999,12127
TLE3,South Yorkshire,1999,9580
TLE4,West Yorkshire,1999,10081
TLF1,Derbyshire and Nottinghamshire,1999,9939
TLF2,"Leicestershire, Rutland and Northamptonshire",1999,10682
TLF3,Lincolnshire,1999,10363
TLG1,"Herefordshire, Worcestershire and Warwickshire",1999,11790
TLG2,Shropshire and Staffordshire,1999,10549
TLG3,West Midlands,1999,9545
TLH2,Bedfordshire and Hertfordshire,1999,12879
TLH3,Essex,1999,12194
TLH4,Cambridgeshire and Peterborough,1999,11937
TLH5,Norfolk,1999,10196
TLH6,Suffolk,1999,10428
TLI3,Inner London - West,1999,23082
TLI4,Inner London - East,1999,12059
TLI5,Outer London - East and North East,1999,11666
TLI6,Outer London - South,1999,13673
TLI7,Outer London - West and North West,1999,14053
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1999,14039
TLJ2,"Surrey, East and West Sussex",1999,14565
TLJ3,Hampshire and Isle of Wight,1999,12074
TLJ4,Kent,1999,11879
TLK3,Cornwall and Isles of Scilly,1999,10043
TLK4,Devon,1999,10836
TLK5,West of England,1999,11885
TLK6,"North Somerset, Somerset and Dorset",1999,12069
TLK7,Gloucestershire and Wiltshire,1999,12134
TLL3,North Wales,1999,10054
TLL4,Mid and South West Wales,1999,9781
TLL5,South East Wales,1999,9557
TLM0,Eastern Scotland,1999,10045
TLM1,East Central Scotland,1999,11335
TLM2,Highlands and Islands,1999,9169
TLM3,West Central Scotland,1999,9939
TLM5,North Eastern Scotland,1999,10992
TLM9,Southern Scotland,1999,9566
TLN0,Northern Ireland,1999,8956
TLC3,Tees Valley,2000,9721
TLC4,"Northumberland, Durham and Tyne & Wear",2000,10070
TLD1,Cumbria,2000,10826
TLD3,Greater Manchester,2000,10658
TLD4,Lancashire,2000,10315
TLD6,Cheshire,2000,12358
TLD7,Merseyside,2000,10214
TLE1,East Yorkshire and Northern Lincolnshire,2000,10187
TLE2,North Yorkshire,2000,12192
TLE3,South Yorkshire,2000,10042
TLE4,West Yorkshire,2000,10647
TLF1,Derbyshire and Nottinghamshire,2000,10255
TLF2,"Leicestershire, Rutland and Northamptonshire",2000,11184
TLF3,Lincolnshire,2000,10696
TLG1,"Herefordshire, Worcestershire and Warwickshire",2000,12287
TLG2,Shropshire and Staffordshire,2000,10882
TLG3,West Midlands,2000,10064
TLH2,Bedfordshire and Hertfordshire,2000,13688
TLH3,Essex,2000,12660
TLH4,Cambridgeshire and Peterborough,2000,12475
TLH5,Norfolk,2000,10665
TLH6,Suffolk,2000,11237
TLI3,Inner London - West,2000,25095
TLI4,Inner London - East,2000,13026
TLI5,Outer London - East and North East,2000,12349
TLI6,Outer London - South,2000,14580
TLI7,Outer London - West and North West,2000,14915
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2000,14872
