itl2_code,itl2_name,year,gva_real_gbp_m
TLC3,Tees Valley,1998,10293
TLC4,"Northumberland, Durham and Tyne & Wear",1998,32204
TLD1,Cumbria,1998,10519
TLD3,Greater Manchester,1998,50667
TLD4,Lancashire,1998,28047
TLD6,Cheshire,1998,22914
TLD7,Merseyside,1998,26894
TLE1,East Yorkshire and Northern Lincolnshire,1998,17708
TLE2,North Yorkshire,1998,18293
TLE3,South Yorkshire,1998,22403
TLE4,West Yorkshire,1998,42446
TLF1,Derbyshire and Nottinghamshire,1998,41576
TLF2,"Leicestershire, Rutland and Northamptonshire",1998,35400
TLF3,Lincolnshire,1998,12722
TLG1,"Herefordshire, Worcestershire and Warwickshire",1998,26607
TLG2,Shropshire and Staffordshire,1998,29646
TLG3,West Midlands,1998,57218
TLH2,Bedfordshire and Hertfordshire,1998,38496
TLH3,Essex,1998,34362
TLH4,Cambridgeshire and Peterborough,1998,18692
TLH5,Norfolk,1998,14989
TLH6,Suffolk,1998,13395
TLI3,Inner London - West,1998,119170
TLI4,Inner London - East,1998,62043
TLI5,Outer London - East and North East,1998,31147
TLI6,Outer London - South,1998,28334
TLI7,Outer London - West and North West,1998,49333
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1998,57441
TLJ2,"Surrey, East and West Sussex",1998,67882
TLJ3,Hampshire and Isle of Wight,1998,43480
TLJ4,Kent,1998,35864
TLK3,Cornwall and Isles of Scilly,1998,8749
TLK4,Devon,1998,21036
TLK5,West of England,1998,22054
TLK6,"North Somerset, Somerset and Dorset",1998,30531
TLK7,Gloucestershire and Wiltshire,1998,30492
TLL3,North Wales,1998,12087
TLL4,Mid and South West Wales,1998,15032
TLL5,South East Wales,1998,25241
TLM0,Eastern Scotland,1998,16395
TLM1,East Central Scotland,1998,25520
TLM2,Highlands and Islands,1998,9676
TLM3,West Central Scotland,1998,30774
TLM5,North Eastern Scotland,1998,12282
TLM9,Southern Scotland,1998,17607
TLN0,Northern Ireland,1998,34512
TLC3,Tees Valley,1999,10744
TLC4,"Northumberland, Durham and Tyne & Wear",1999,32355
TLD1,Cumbria,1999,10821
TLD3,Greater Manchester,1999,52799
TLD4,Lancashire,1999,29173
TLD6,Cheshire,1999,23750
TLD7,Merseyside,1999,28060
TLE1,East Yorkshire and Northern Lincolnshire,1999,17863
TLE2,North Yorkshire,1999,18726
TLE3,South Yorkshire,1999,22480
TLE4,West Yorkshire,1999,44638
TLF1,Derbyshire and Nottinghamshire,1999,42886
TLF2,"Leicestershire, Rutland and Northamptonshire",1999,36117
TLF3,Lincolnshire,1999,13049
TLG1,"Herefordshire, Worcestershire and Warwickshire",1999,27979
TLG2,Shropshire and Staffordshire,1999,29901
TLG3,West Midlands,1999,59076
TLH2,Bedfordshire and Hertfordshire,1999,40358
TLH3,Essex,1999,34541
TLH4,Cambridgeshire and Peterborough,1999,19537
TLH5,Norfolk,1999,15496
TLH6,Suffolk,1999,14147
TLI3,Inner London - West,1999,122485
TLI4,Inner London - East,1999,64545
TLI5,Outer London - East and North East,1999,32190
TLI6,Outer London - South,1999,29557
TLI7,Outer London - West and North West,1999,51585
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1999,60969
TLJ2,"Surrey, East and West Sussex",1999,71217
TLJ3,Hampshire and Isle of Wight,1999,43859
TLJ4,Kent,1999,36835
TLK3,Cornwall and Isles of Scilly,1999,8889
TLK4,Devon,1999,21762
TLK5,West of England,1999,22849
TLK6,"North Somerset, Somerset and Dorset",1999,31795
TLK7,Gloucestershire and Wiltshire,1999,31722
TLL3,North Wales,1999,12193
TLL4,Mid and South West Wales,1999,15000
TLL5,South East Wales,1999,26142
TLM0,Eastern Scotland,1999,16719
TLM1,East Central Scotland,1999,25779
TLM2,Highlands and Islands,1999,10034
TLM3,West Central Scotland,1999,31216
TLM5,North Eastern Scotland,1999,12206
TLM9,Southern Scotland,1999,18027
TLN0,Northern Ireland,1999,35857
TLC3,Tees Valley,2000,11151
TLC4,"Northumberland, Durham and Tyne & Wear",2000,33080
TLD1,Cumbria,2000,10587
TLD3,Greater Manchester,2000,54042
TLD4,Lancashire,2000,29700
TLD6,Cheshire,2000,24351
TLD7,Merseyside,2000,28980
TLE1,East Yorkshire and Northern Lincolnshire,2000,18707
TLE2,North Yorkshire,2000,19342
TLE3,South Yorkshire,2000,23223
TLE4,West Yorkshire,2000,45658
TLF1,Derbyshire and Nottinghamshire,2000,43310
