itl2_code,itl2_name,year,gva_real_gbp_m,population,gva_per_capita_gbp
TLC3,Tees Valley,1998,10293,652787.0,15767.777238210932
TLC4,"Northumberland, Durham and Tyne & Wear",1998,32204,1908096.0,16877.557523311196
TLD1,Cumbria,1998,10519,489033.0,21509.79586244691
TLD3,Greater Manchester,1998,50667,2521915.0,20090.68505480954
TLD4,Lancashire,1998,28047,1412688.0,19853.640718969793
TLD6,Cheshire,1998,22914,861767.0,26589.553788901176
TLD7,Merseyside,1998,26894,1506770.0,17848.775858292905
TLE1,East Yorkshire and Northern Lincolnshire,1998,17708,876664.0,20199.30098646688
TLE2,North Yorkshire,1998,18293,734384.0,24909.311749711324
TLE3,South Yorkshire,1998,22403,1273604.0,17590.23998040207
TLE4,West Yorkshire,1998,42446,2073051.0,20475.135440469145
TLF1,Derbyshire and Nottinghamshire,1998,41576,1974703.0,21054.30538161941
TLF2,"Leicestershire, Rutland and Northamptonshire",1998,35400,1531948.0,23107.83394736636
TLF3,Lincolnshire,1998,12722,625994.0,20322.878494043074
TLG1,"Herefordshire, Worcestershire and Warwickshire",1998,26607,1205431.0,22072.603077239593
TLG2,Shropshire and Staffordshire,1998,29646,1479300.0,20040.559724193874
TLG3,West Midlands,1998,57218,2586621.0,22120.751358625792
TLH2,Bedfordshire and Hertfordshire,1998,38496,1569592.0,24526.11888949485
TLH3,Essex,1998,34362,1586716.0,21656.0493497261
TLH4,Cambridgeshire and Peterborough,1998,18692,700823.0,26671.49908036694
TLH5,Norfolk,1998,14989,780863.0,19195.42864753484
TLH6,Suffolk,1998,13395,664034.0,20172.159859284315
TLI3,Inner London - West,1998,119170,933846.0,127612.04738254487
TLI4,Inner London - East,1998,62043,1765363.0,35144.61331748768
TLI5,Outer London - East and North East,1998,31147,1540391.0,20220.19084764842
TLI6,Outer London - South,1998,28334,1128731.0,25102.526642751905
TLI7,Outer London - West and North West,1998,49333,1697166.0,29067.869613225812
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1998,57441,2067712.0,27779.980964467006
TLJ2,"Surrey, East and West Sussex",1998,67882,2512816.0,27014.313821624823
TLJ3,Hampshire and Isle of Wight,1998,43480,1756246.0,24757.351760516467
TLJ4,Kent,1998,35864,1552064.0,23107.294544554865
TLK3,Cornwall and Isles of Scilly,1998,8749,488031.0,17927.139874311262
TLK4,Devon,1998,21036,1055269.0,19934.253730565382
TLK5,West of England,1998,22054,793717.0,27785.722115061162
TLK6,"North Somerset, Somerset and Dorset",1998,30531,1356789.0,22502.39351881538
TLK7,Gloucestershire and Wiltshire,1998,30492,1155658.0,26384.968563363902
TLL3,North Wales,1998,12087,656936.0,18399.05257133115
TLL4,Mid and South West Wales,1998,15032,843596.0,17818.955993153122
TLL5,South East Wales,1998,25241,1398989.0,18042.314843075965
TLM0,Eastern Scotland,1998,16395,873680.0,18765.451881695815
TLM1,East Central Scotland,1998,25520,911800.0,27988.593989910067
TLM2,Highlands and Islands,1998,9676,594620.0,16272.577444418284
TLM3,West Central Scotland,1998,30774,1462670.0,21039.60565267627
TLM5,North Eastern Scotland,1998,12282,441870.0,27795.50546540838
TLM9,Southern Scotland,1998,17607,929900.0,18934.294010108613
TLN0,Northern Ireland,1998,34512,0.0,inf
TLC3,Tees Valley,1999,10744,651261.0,16497.226150498802
TLC4,"Northumberland, Durham and Tyne & Wear",1999,32355,1899053.0,17037.43918679468
TLD1,Cumbria,1999,10821,488145.0,22167.59364533079
TLD3,Greater Manchester,1999,52799,2515488.0,20989.565444160336
TLD4,Lancashire,1999,29173,1410858.0,20677.488450290533
TLD6,Cheshire,1999,23750,860850.0,27589.01086135796
TLD7,Merseyside,1999,28060,1497774.0,18734.46861809592
TLE1,East Yorkshire and Northern Lincolnshire,1999,17863,874966.0,20415.650436702683
TLE2,North Yorkshire,1999,18726,739157.0,25334.26592726579
TLE3,South Yorkshire,1999,22480,1269924.0,17701.846724685885
TLE4,West Yorkshire,1999,44638,2072278.0,21540.54620084757
TLF1,Derbyshire and Nottinghamshire,1999,42886,1977966.0,21681.86915245257
TLF2,"Leicestershire, Rutland and Northamptonshire",1999,36117,1541768.0,23425.7034780849
TLF3,Lincolnshire,1999,13049,632709.0,20624.01514756389
