itl2_code,itl2_name,year,median_price,n_sales
TLC3,Tees Valley,1995,42950.0,8505
TLC4,"Northumberland, Durham and Tyne & Wear",1995,42000.0,24324
TLD1,Cumbria,1995,46000.0,6924
TLD3,Greater Manchester,1995,43500.0,33981
TLD4,Lancashire,1995,43000.0,22210
TLD6,Cheshire,1995,57750.0,12979
TLD7,Merseyside,1995,43000.0,18265
TLE1,East Yorkshire and Northern Lincolnshire,1995,42000.0,13745
TLE2,North Yorkshire,1995,56500.0,11768
TLE3,South Yorkshire,1995,41000.0,15506
TLE4,West Yorkshire,1995,45000.0,30322
TLF1,Derbyshire and Nottinghamshire,1995,44000.0,27812
TLF2,"Leicestershire, Rutland and Northamptonshire",1995,48000.0,25840
TLF3,Lincolnshire,1995,45000.0,10960
TLG1,"Herefordshire, Worcestershire and Warwickshire",1995,58000.0,18971
TLG2,Shropshire and Staffordshire,1995,47000.0,22596
TLG3,West Midlands,1995,46250.0,30202
TLH2,Bedfordshire and Hertfordshire,1995,65000.0,27758
TLH3,Essex,1995,57950.0,28737
TLH4,Cambridgeshire and Peterborough,1995,57000.0,11907
TLH5,Norfolk,1995,48000.0,13324
TLH6,Suffolk,1995,51000.0,11427
TLI3,Inner London - West,1995,114500.0,19392
TLI4,Inner London - East,1995,61500.0,21540
TLI5,Outer London - East and North East,1995,61250.0,22717
TLI6,Outer London - South,1995,71000.0,19524
TLI7,Outer London - West and North West,1995,78000.0,25579
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1995,72500.0,36987
TLJ2,"Surrey, East and West Sussex",1995,69950.0,48836
TLJ3,Hampshire and Isle of Wight,1995,59995.0,31978
TLJ4,Kent,1995,56500.0,24797
TLK3,Cornwall and Isles of Scilly,1995,49000.0,7971
TLK4,Devon,1995,52950.0,17821
TLK5,West of England,1995,53750.0,11940
TLK6,"North Somerset, Somerset and Dorset",1995,57500.0,25398
TLK7,Gloucestershire and Wiltshire,1995,58000.0,20099
TLL3,North Wales,1995,44550.0,7826
TLL4,Mid and South West Wales,1995,43000.0,8930
TLL5,South East Wales,1995,44000.0,17194
TLC3,Tees Valley,1996,44995.0,10111
TLC4,"Northumberland, Durham and Tyne & Wear",1996,44000.0,27827
TLD1,Cumbria,1996,47500.0,8656
TLD3,Greater Manchester,1996,44000.0,38737
TLD4,Lancashire,1996,44000.0,24285
TLD6,Cheshire,1996,58000.0,15526
TLD7,Merseyside,1996,45000.0,20413
TLE1,East Yorkshire and Northern Lincolnshire,1996,42850.0,15398
TLE2,North Yorkshire,1996,58000.0,14313
TLE3,South Yorkshire,1996,41500.0,17257
TLE4,West Yorkshire,1996,46000.0,33927
TLF1,Derbyshire and Nottinghamshire,1996,45500.0,32711
TLF2,"Leicestershire, Rutland and Northamptonshire",1996,49950.0,30861
TLF3,Lincolnshire,1996,46000.0,13209
TLG1,"Herefordshire, Worcestershire and Warwickshire",1996,59500.0,23705
TLG2,Shropshire and Staffordshire,1996,49500.0,25773
TLG3,West Midlands,1996,47500.0,35688
TLH2,Bedfordshire and Hertfordshire,1996,67000.0,34902
TLH3,Essex,1996,59000.0,35180
TLH4,Cambridgeshire and Peterborough,1996,58500.0,14391
TLH5,Norfolk,1996,48500.0,16486
TLH6,Suffolk,1996,51600.0,13821
TLI3,Inner London - West,1996,125000.0,24574
TLI4,Inner London - East,1996,66000.0,26547
TLI5,Outer London - East and North East,1996,64500.0,26915
TLI6,Outer London - South,1996,74950.0,24694
TLI7,Outer London - West and North West,1996,81500.0,32638
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1996,75000.0,46911
TLJ2,"Surrey, East and West Sussex",1996,72950.0,62460
TLJ3,Hampshire and Isle of Wight,1996,63000.0,39715
TLJ4,Kent,1996,58500.0,28640
TLK3,Cornwall and Isles of Scilly,1996,51500.0,10443
TLK4,Devon,1996,54000.0,22472
TLK5,West of England,1996,56000.0,15953
TLK6,"North Somerset, Somerset and Dorset",1996,59950.0,32633
TLK7,Gloucestershire and Wiltshire,1996,59950.0,25476
TLL3,North Wales,1996,45000.0,9917
TLL4,Mid and South West Wales,1996,44000.0,11256
TLL5,South East Wales,1996,46000.0,20377
TLC3,Tees Valley,1997,46950.0,10721
TLC4,"Northumberland, Durham and Tyne & Wear",1997,47000.0,30546
TLD1,Cumbria,1997,50000.0,9389
TLD3,Greater Manchester,1997,47000.0,43352
TLD4,Lancashire,1997,47000.0,28298
TLD6,Cheshire,1997,61000.0,17735
TLD7,Merseyside,1997,46500.0,21463
TLE1,East Yorkshire and Northern Lincolnshire,1997,44000.0,16351
TLE2,North Yorkshire,1997,59995.0,16693
TLE3,South Yorkshire,1997,43500.0,18759
TLE4,West Yorkshire,1997,48500.0,37497
TLF1,Derbyshire and Nottinghamshire,1997,48000.0,37104
TLF2,"Leicestershire, Rutland and Northamptonshire",1997,54000.0,34247
TLF3,Lincolnshire,1997,49000.0,15138
TLG1,"Herefordshire, Worcestershire and Warwickshire",1997,64500.0,26546
TLG2,Shropshire and Staffordshire,1997,52000.0,28146
TLG3,West Midlands,1997,49950.0,39403
TLH2,Bedfordshire and Hertfordshire,1997,74000.0,39653
TLH3,Essex,1997,64500.0,40307
TLH4,Cambridgeshire and Peterborough,1997,62500.0,16827
TLH5,Norfolk,1997,52000.0,18831
TLH6,Suffolk,1997,55500.0,15654
TLI3,Inner London - West,1997,144000.0,28644
TLI4,Inner London - East,1997,77000.0,33821
TLI5,Outer London - East and North East,1997,70000.0,30826
TLI6,Outer London - South,1997,81000.0,28119
TLI7,Outer London - West and North West,1997,92000.0,36175
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1997,82500.0,52022
TLJ2,"Surrey, East and West Sussex",1997,79500.0,70700
TLJ3,Hampshire and Isle of Wight,1997,68000.0,45477
TLJ4,Kent,1997,62500.0,34350
TLK3,Cornwall and Isles of Scilly,1997,56000.0,12424
TLK4,Devon,1997,57500.0,26332
TLK5,West of England,1997,59950.0,18278
TLK6,"North Somerset, Somerset and Dorset",1997,65000.0,37003
TLK7,Gloucestershire and Wiltshire,1997,64500.0,29426
TLL3,North Wales,1997,47950.0,11446
TLL4,Mid and South West Wales,1997,46000.0,12535
TLL5,South East Wales,1997,48500.0,23679
TLM9,Southern Scotland,1997,361000.0,1
TLC3,Tees Valley,1998,47350.0,10650
TLC4,"Northumberland, Durham and Tyne & Wear",1998,48500.0,31309
TLD1,Cumbria,1998,52250.0,9485
TLD3,Greater Manchester,1998,48500.0,42144
TLD4,Lancashire,1998,48000.0,27974
TLD6,Cheshire,1998,64950.0,17016
TLD7,Merseyside,1998,47500.0,22925
TLE1,East Yorkshire and Northern Lincolnshire,1998,44675.0,16138
TLE2,North Yorkshire,1998,62000.0,14682
TLE3,South Yorkshire,1998,44995.0,19360
TLE4,West Yorkshire,1998,50000.0,37282
TLF1,Derbyshire and Nottinghamshire,1998,49995.0,36463
TLF2,"Leicestershire, Rutland and Northamptonshire",1998,58000.0,33630
TLF3,Lincolnshire,1998,51500.0,14834
TLG1,"Herefordshire, Worcestershire and Warwickshire",1998,69500.0,25118
TLG2,Shropshire and Staffordshire,1998,55000.0,27248
TLG3,West Midlands,1998,52000.0,38210
TLH2,Bedfordshire and Hertfordshire,1998,82000.0,37126
TLH3,Essex,1998,70000.0,38323
TLH4,Cambridgeshire and Peterborough,1998,67000.0,16059
TLH5,Norfolk,1998,55000.0,18247
TLH6,Suffolk,1998,59000.0,15002
TLI3,Inner London - West,1998,160000.0,25165
TLI4,Inner London - East,1998,89000.0,34073
TLI5,Outer London - East and North East,1998,77995.0,29650
TLI6,Outer London - South,1998,91000.0,26005
TLI7,Outer London - West and North West,1998,106000.0,33867
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1998,92000.0,48728
TLJ2,"Surrey, East and West Sussex",1998,89000.0,65451
TLJ3,Hampshire and Isle of Wight,1998,75000.0,42765
TLJ4,Kent,1998,68250.0,31871
TLK3,Cornwall and Isles of Scilly,1998,59000.0,11571
TLK4,Devon,1998,59999.0,24884
TLK5,West of England,1998,65250.0,18425
TLK6,"North Somerset, Somerset and Dorset",1998,71000.0,34964
TLK7,Gloucestershire and Wiltshire,1998,70000.0,28423
TLL3,North Wales,1998,49250.0,10417
TLL4,Mid and South West Wales,1998,48000.0,12367
TLL5,South East Wales,1998,50000.0,22143
TLC3,Tees Valley,1999,49000.0,11567
TLC4,"Northumberland, Durham and Tyne & Wear",1999,51500.0,32955
TLD1,Cumbria,1999,55000.0,10362
TLD3,Greater Manchester,1999,51000.0,47859
TLD4,Lancashire,1999,50500.0,29450
TLD6,Cheshire,1999,69500.0,19418
TLD7,Merseyside,1999,50000.0,24963
TLE1,East Yorkshire and Northern Lincolnshire,1999,47500.0,16922
TLE2,North Yorkshire,1999,65500.0,17811
TLE3,South Yorkshire,1999,47000.0,21151
TLE4,West Yorkshire,1999,52995.0,42174
TLF1,Derbyshire and Nottinghamshire,1999,54000.0,41205
TLF2,"Leicestershire, Rutland and Northamptonshire",1999,62000.0,38542
TLF3,Lincolnshire,1999,54500.0,17169
TLG1,"Herefordshire, Worcestershire and Warwickshire",1999,77000.0,29408
TLG2,Shropshire and Staffordshire,1999,59000.0,30655
TLG3,West Midlands,1999,55000.0,43095
TLH2,Bedfordshire and Hertfordshire,1999,90000.0,43329
TLH3,Essex,1999,77000.0,44715
TLH4,Cambridgeshire and Peterborough,1999,74176.5,18752
TLH5,Norfolk,1999,59950.0,20908
TLH6,Suffolk,1999,65000.0,17207
TLI3,Inner London - West,1999,195000.0,30628
TLI4,Inner London - East,1999,110000.0,38745
TLI5,Outer London - East and North East,1999,86900.0,33956
TLI6,Outer London - South,1999,108000.0,29520
TLI7,Outer London - West and North West,1999,125950.0,39294
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1999,106500.0,57232
TLJ2,"Surrey, East and West Sussex",1999,100000.0,74485
TLJ3,Hampshire and Isle of Wight,1999,84000.0,48833
TLJ4,Kent,1999,74500.0,36001
TLK3,Cornwall and Isles of Scilly,1999,65950.0,13173
TLK4,Devon,1999,66000.0,29508
TLK5,West of England,1999,74250.0,20699
TLK6,"North Somerset, Somerset and Dorset",1999,79000.0,41009
TLK7,Gloucestershire and Wiltshire,1999,78950.0,32446
TLL3,North Wales,1999,52000.0,11158
TLL4,Mid and South West Wales,1999,50000.0,13574
TLL5,South East Wales,1999,55000.0,24467
TLM9,Southern Scotland,1999,36000.0,1
TLC3,Tees Valley,2000,50995.0,12722
