itl2_code,itl2_name,year,median_all,median_newbuild,median_existing,median_detached,median_semi_detached,median_terraced,median_flat,n_sales
TLC3,Tees Valley,2018,137000.0,199972.5,125000.0,224950.0,130000.0,79500.0,77000.0,9767
TLC4,"Northumberland, Durham and Tyne & Wear",2018,141000.0,200000.0,130000.0,240000.0,140000.0,108000.0,100650.0,28563
TLD1,Cumbria,2018,167000.0,234995.0,160000.0,266497.5,160000.0,114000.0,116500.0,8767
TLD3,Greater Manchester,2018,164995.0,194995.0,160000.0,277000.0,175000.0,124000.0,145000.0,40865
TLD4,Lancashire,2018,145000.0,224995.0,138000.0,253000.0,148000.0,95000.0,97500.0,24104
TLD6,Cheshire,2018,210000.0,262995.0,197000.0,320000.0,184725.0,148000.0,125000.0,16728
TLD7,Merseyside,2018,145000.0,157995.0,142500.0,257000.0,160000.0,100000.0,98000.0,22274
TLE1,East Yorkshire and Northern Lincolnshire,2018,145000.0,214995.0,140000.0,240000.0,140000.0,107000.0,85000.0,15047
TLE2,North Yorkshire,2018,220000.0,260000.0,216500.0,317500.0,206000.0,180000.0,150000.0,14618
TLE3,South Yorkshire,2018,141500.0,175995.0,136000.0,235000.0,133000.0,109372.5,110000.0,19316
TLE4,West Yorkshire,2018,157220.0,212972.5,150000.0,280000.0,160050.0,120000.0,117500.0,34801
TLF1,Derbyshire and Nottinghamshire,2018,169950.0,245000.0,160000.0,260000.0,151500.0,123000.0,115000.0,35512
TLF2,"Leicestershire, Rutland and Northamptonshire",2018,219950.0,284950.0,205000.0,320000.0,200000.0,170000.0,125000.0,30058
TLF3,Lincolnshire,2018,180000.0,198950.0,175000.0,233000.0,158000.0,130000.0,104000.0,13605
TLG1,"Herefordshire, Worcestershire and Warwickshire",2018,245000.0,309950.0,230000.0,350000.0,222000.0,180000.0,137500.0,23683
TLG2,Shropshire and Staffordshire,2018,179950.0,242995.0,169100.0,275000.0,162500.0,130000.0,116250.0,26156
TLG3,West Midlands,2018,172500.0,199995.0,168000.0,300000.0,179995.0,150000.0,135000.0,35125
TLH2,Bedfordshire and Hertfordshire,2018,340000.0,348995.0,338000.0,540000.0,367500.0,315000.0,232000.0,26657
TLH3,Essex,2018,305000.0,352995.0,299995.0,440000.0,320000.0,275000.0,190000.0,30001
TLH4,Cambridgeshire and Peterborough,2018,260000.0,304995.0,250000.0,350000.0,237500.0,210000.0,180000.0,13138
TLH5,Norfolk,2018,225000.0,249995.0,220000.0,292995.0,210000.0,178000.0,140000.0,15901
TLH6,Suffolk,2018,240000.0,275000.0,235000.0,340000.0,230000.0,190000.0,137000.0,12437
TLI3,Inner London - West,2018,775000.0,975000.0,720000.0,2875000.0,1660000.0,1190000.0,680000.0,12439
TLI4,Inner London - East,2018,490000.0,532500.0,475000.0,1300000.0,808500.0,630000.0,463000.0,22107
TLI5,Outer London - East and North East,2018,384250.0,425000.0,376000.0,620000.0,440000.0,397500.0,310000.0,19192
TLI6,Outer London - South,2018,425000.0,443000.0,420000.0,725000.0,530000.0,427000.0,315000.0,15638
TLI7,Outer London - West and North West,2018,475000.0,450000.0,480000.0,900000.0,580000.0,536000.0,385000.0,18109
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2018,355000.0,380000.0,347500.0,525000.0,360000.0,310000.0,235000.0,35892
TLJ2,"Surrey, East and West Sussex",2018,352000.0,382400.0,350000.0,550000.0,376000.0,320000.0,235000.0,45725
TLJ3,Hampshire and Isle of Wight,2018,279950.0,340000.0,270000.0,439950.0,295000.0,245000.0,168500.0,32385
TLJ4,Kent,2018,285000.0,349995.0,276000.0,450000.0,305000.0,250000.0,187000.0,29452
TLK3,Cornwall and Isles of Scilly,2018,225000.0,236725.0,222500.0,304950.0,207000.0,178000.0,158000.0,10389
