itl2_code,itl2_name,year,affordability_ratio_residence
TLC3,Tees Valley,2002,3.054
TLC4,"Northumberland, Durham and Tyne & Wear",2002,3.354
TLD1,Cumbria,2002,
TLD3,Greater Manchester,2002,3.4219999999999997
TLD4,Lancashire,2002,3.165
TLD6,Cheshire,2002,4.39
TLD7,Merseyside,2002,3.4683333333333333
TLE1,East Yorkshire and Northern Lincolnshire,2002,2.855
TLE2,North Yorkshire,2002,5.18
TLE3,South Yorkshire,2002,3.0050000000000003
TLE4,West Yorkshire,2002,3.35
TLF1,Derbyshire and Nottinghamshire,2002,3.738823529411764
TLF2,"Leicestershire, Rutland and Northamptonshire",2002,4.796666666666667
TLF3,Lincolnshire,2002,4.1499999999999995
TLG1,"Herefordshire, Worcestershire and Warwickshire",2002,5.419166666666666
TLG2,Shropshire and Staffordshire,2002,4.045
TLG3,West Midlands,2002,4.122857142857144
TLH2,Bedfordshire and Hertfordshire,2002,5.9487499999999995
TLH3,Essex,2002,5.395000000000001
TLH4,Cambridgeshire and Peterborough,2002,5.658333333333332
TLH5,Norfolk,2002,5.215714285714285
TLH6,Suffolk,2002,5.523333333333333
TLI3,Inner London - West,2002,8.959999999999999
TLI4,Inner London - East,2002,7.35
TLI5,Outer London - East and North East,2002,5.685714285714285
TLI6,Outer London - South,2002,6.5120000000000005
TLI7,Outer London - West and North West,2002,7.274285714285715
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2002,6.555384615384615
TLJ2,"Surrey, East and West Sussex",2002,6.720833333333335
TLJ3,Hampshire and Isle of Wight,2002,6.207142857142857
TLJ4,Kent,2002,5.591538461538462
TLK3,Cornwall and Isles of Scilly,2002,
TLK4,Devon,2002,6.297000000000001
TLK5,West of England,2002,5.84
TLK6,"North Somerset, Somerset and Dorset",2002,5.16
TLK7,Gloucestershire and Wiltshire,2002,5.803750000000001
TLL3,North Wales,2002,3.645
TLL4,Mid and South West Wales,2002,3.78
TLL5,South East Wales,2002,3.501
TLC3,Tees Valley,2003,3.5420000000000003
TLC4,"Northumberland, Durham and Tyne & Wear",2003,4.078571428571428
TLD1,Cumbria,2003,4.135
TLD3,Greater Manchester,2003,3.9669999999999996
TLD4,Lancashire,2003,3.7142857142857144
TLD6,Cheshire,2003,4.993333333333333
TLD7,Merseyside,2003,3.983333333333333
TLE1,East Yorkshire and Northern Lincolnshire,2003,3.3625
TLE2,North Yorkshire,2003,6.234999999999999
TLE3,South Yorkshire,2003,3.6525
TLE4,West Yorkshire,2003,3.9899999999999998
