itl2_code,itl2_name,year,affordability_ratio_workplace
TLC3,Tees Valley,1997,2.7640000000000002
TLC4,"Northumberland, Durham and Tyne & Wear",1997,3.1
TLD1,Cumbria,1997,
TLD3,Greater Manchester,1997,2.9
TLD4,Lancashire,1997,2.876428571428572
TLD6,Cheshire,1997,3.33
TLD7,Merseyside,1997,2.9
TLE1,East Yorkshire and Northern Lincolnshire,1997,2.6449999999999996
TLE2,North Yorkshire,1997,3.71
TLE3,South Yorkshire,1997,2.71
TLE4,West Yorkshire,1997,3.0039999999999996
TLF1,Derbyshire and Nottinghamshire,1997,3.1535294117647057
TLF2,"Leicestershire, Rutland and Northamptonshire",1997,3.52
TLF3,Lincolnshire,1997,3.3300000000000005
TLG1,"Herefordshire, Worcestershire and Warwickshire",1997,3.9509999999999996
TLG2,Shropshire and Staffordshire,1997,3.3600000000000003
TLG3,West Midlands,1997,3.197142857142857
TLH2,Bedfordshire and Hertfordshire,1997,3.99625
TLH3,Essex,1997,4.069285714285714
TLH4,Cambridgeshire and Peterborough,1997,3.9075000000000006
TLH5,Norfolk,1997,3.424285714285714
TLH6,Suffolk,1997,3.723333333333333
TLI3,Inner London - West,1997,6.891666666666666
TLI4,Inner London - East,1997,3.8325000000000005
TLI5,Outer London - East and North East,1997,3.81
TLI6,Outer London - South,1997,4.55
TLI7,Outer London - West and North West,1997,4.837142857142857
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1997,4.456153846153847
TLJ2,"Surrey, East and West Sussex",1997,4.6866666666666665
TLJ3,Hampshire and Isle of Wight,1997,4.208571428571429
TLJ4,Kent,1997,4.0175
TLK3,Cornwall and Isles of Scilly,1997,
TLK4,Devon,1997,4.32
TLK5,West of England,1997,3.6666666666666665
TLK6,"North Somerset, Somerset and Dorset",1997,3.66
TLK7,Gloucestershire and Wiltshire,1997,3.8099999999999996
TLL3,North Wales,1997,3.0883333333333334
TLL4,Mid and South West Wales,1997,3.08
TLL5,South East Wales,1997,2.8880000000000003
TLC3,Tees Valley,1998,2.864
TLC4,"Northumberland, Durham and Tyne & Wear",1998,3.0525
TLD1,Cumbria,1998,
TLD3,Greater Manchester,1998,2.934
TLD4,Lancashire,1998,2.9657142857142853
TLD6,Cheshire,1998,3.45
TLD7,Merseyside,1998,2.8866666666666667
TLE1,East Yorkshire and Northern Lincolnshire,1998,2.54
TLE2,North Yorkshire,1998,3.56
TLE3,South Yorkshire,1998,2.7249999999999996
TLE4,West Yorkshire,1998,2.968
TLF1,Derbyshire and Nottinghamshire,1998,3.199411764705882
TLF2,"Leicestershire, Rutland and Northamptonshire",1998,3.6677777777777782
TLF3,Lincolnshire,1998,3.2899999999999996
TLG1,"Herefordshire, Worcestershire and Warwickshire",1998,4.179166666666666
TLG2,Shropshire and Staffordshire,1998,3.255
TLG3,West Midlands,1998,3.1285714285714286
TLH2,Bedfordshire and Hertfordshire,1998,4.25
TLH3,Essex,1998,4.260714285714286
TLH4,Cambridgeshire and Peterborough,1998,4.068333333333333
TLH5,Norfolk,1998,3.4785714285714286
TLH6,Suffolk,1998,3.7433333333333336
TLI3,Inner London - West,1998,7.506666666666667
TLI4,Inner London - East,1998,4.273750000000001
TLI5,Outer London - East and North East,1998,3.9842857142857144
TLI6,Outer London - South,1998,5.008000000000001
TLI7,Outer London - West and North West,1998,5.26
