itl2_code,itl2_name,year,inflow,outflow,net_migration
TLC3,Tees Valley,2012,24926.0,27217.0,-2291.0
TLC4,"Northumberland, Durham and Tyne & Wear",2012,75945.0,77303.0,-1358.0
TLD1,Cumbria,2012,14532.0,15207.0,-675.0
TLD3,Greater Manchester,2012,124545.0,130799.0,-6254.0
TLD4,Lancashire,2012,78145.0,80918.0,-2773.0
TLD6,Cheshire,2012,37775.0,36526.0,1249.0
TLD7,Merseyside,2012,57333.0,60199.0,-2866.0
TLE1,East Yorkshire and Northern Lincolnshire,2012,37105.0,37802.0,-697.0
TLE2,North Yorkshire,2012,39577.0,36295.0,3282.0
TLE3,South Yorkshire,2012,50751.0,52247.0,-1496.0
TLE4,West Yorkshire,2012,90811.0,96356.0,-5545.0
TLF1,Derbyshire and Nottinghamshire,2012,116492.0,113976.0,2516.0
TLF2,"Leicestershire, Rutland and Northamptonshire",2012,91258.0,90153.0,1105.0
TLF3,Lincolnshire,2012,42676.0,40651.0,2025.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2012,66285.0,62578.0,3707.0
TLG2,Shropshire and Staffordshire,2012,70424.0,70133.0,291.0
TLG3,West Midlands,2012,119179.0,131273.0,-12094.0
TLH2,Bedfordshire and Hertfordshire,2012,105457.0,101406.0,4051.0
TLH3,Essex,2012,90290.0,83776.0,6514.0
TLH4,Cambridgeshire and Peterborough,2012,54043.0,53287.0,756.0
TLH5,Norfolk,2012,49614.0,45545.0,4069.0
TLH6,Suffolk,2012,36900.0,34442.0,2458.0
TLI3,Inner London - West,2012,111746.0,123654.0,-11908.0
TLI4,Inner London - East,2012,197460.0,218219.0,-20759.0
TLI5,Outer London - East and North East,2012,108548.0,116623.0,-8075.0
TLI6,Outer London - South,2012,82124.0,79428.0,2696.0
TLI7,Outer London - West and North West,2012,134986.0,147384.0,-12398.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2012,140084.0,138266.0,1818.0
TLJ2,"Surrey, East and West Sussex",2012,180466.0,166829.0,13637.0
TLJ3,Hampshire and Isle of Wight,2012,113644.0,110327.0,3317.0
TLJ4,Kent,2012,99892.0,91161.0,8731.0
TLK3,Cornwall and Isles of Scilly,2012,23977.0,19642.0,4335.0
TLK4,Devon,2012,69876.0,64810.0,5066.0
TLK5,West of England,2012,59427.0,57650.0,1777.0
TLK6,"North Somerset, Somerset and Dorset",2012,74285.0,66753.0,7532.0
TLK7,Gloucestershire and Wiltshire,2012,65940.0,62312.0,3628.0
TLL3,North Wales,2012,29397.0,28790.0,607.0
TLL4,Mid and South West Wales,2012,40662.0,39178.0,1484.0
TLL5,South East Wales,2012,64199.0,62924.0,1275.0
