itl2_code,itl2_name,year,population
TLC3,Tees Valley,1991,656181.0
TLC4,"Northumberland, Durham and Tyne & Wear",1991,1930805.0
TLD1,Cumbria,1991,486263.0
TLD3,Greater Manchester,1991,2553564.0
TLD4,Lancashire,1991,1402421.0
TLD6,Cheshire,1991,837974.0
TLD7,Merseyside,1991,1562817.0
TLE1,East Yorkshire and Northern Lincolnshire,1991,871680.0
TLE2,North Yorkshire,1991,714072.0
TLE3,South Yorkshire,1991,1288650.0
TLE4,West Yorkshire,1991,2061698.0
TLF1,Derbyshire and Nottinghamshire,1991,1950906.0
TLF2,"Leicestershire, Rutland and Northamptonshire",1991,1471922.0
TLF3,Lincolnshire,1991,588583.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",1991,1159899.0
TLG2,Shropshire and Staffordshire,1991,1451007.0
TLG3,West Midlands,1991,2618793.0
TLH2,Bedfordshire and Hertfordshire,1991,1513925.0
TLH3,Essex,1991,1538975.0
TLH4,Cambridgeshire and Peterborough,1991,664767.0
TLH5,Norfolk,1991,754319.0
TLH6,Suffolk,1991,649066.0
TLI3,Inner London - West,1991,930497.0
TLI4,Inner London - East,1991,1668790.0
TLI5,Outer London - East and North East,1991,1513375.0
TLI6,Outer London - South,1991,1086438.0
TLI7,Outer London - West and North West,1991,1630214.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1991,1961960.0
TLJ2,"Surrey, East and West Sussex",1991,2442789.0
TLJ3,Hampshire and Isle of Wight,1991,1696111.0
TLJ4,Kent,1991,1528326.0
TLK3,Cornwall and Isles of Scilly,1991,471549.0
TLK4,Devon,1991,1031723.0
TLK5,West of England,1991,777459.0
TLK6,"North Somerset, Somerset and Dorset",1991,1301381.0
TLK7,Gloucestershire and Wiltshire,1991,1106136.0
TLL3,North Wales,1991,647692.0
TLL4,Mid and South West Wales,1991,836394.0
TLL5,South East Wales,1991,1388912.0
TLM0,Eastern Scotland,1991,867710.0
TLM1,East Central Scotland,1991,887830.0
TLM2,Highlands and Islands,1991,590740.0
TLM3,West Central Scotland,1991,1516390.0
TLM5,North Eastern Scotland,1991,429990.0
TLM9,Southern Scotland,1991,928730.0
TLN0,Northern Ireland,1991,0.0
TLC3,Tees Valley,1992,656572.0
TLC4,"Northumberland, Durham and Tyne & Wear",1992,1934761.0
TLD1,Cumbria,1992,487245.0
TLD3,Greater Manchester,1992,2551179.0
TLD4,Lancashire,1992,1405342.0
TLD6,Cheshire,1992,840077.0
TLD7,Merseyside,1992,1557186.0
TLE1,East Yorkshire and Northern Lincolnshire,1992,875449.0
TLE2,North Yorkshire,1992,717760.0
TLE3,South Yorkshire,1992,1288287.0
TLE4,West Yorkshire,1992,2067537.0
TLF1,Derbyshire and Nottinghamshire,1992,1958035.0
TLF2,"Leicestershire, Rutland and Northamptonshire",1992,1483228.0
TLF3,Lincolnshire,1992,595428.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",1992,1167753.0
TLG2,Shropshire and Staffordshire,1992,1454006.0
TLG3,West Midlands,1992,2615616.0
TLH2,Bedfordshire and Hertfordshire,1992,1522883.0
TLH3,Essex,1992,1546941.0
TLH4,Cambridgeshire and Peterborough,1992,671623.0
TLH5,Norfolk,1992,757659.0
TLH6,Suffolk,1992,643483.0
TLI3,Inner London - West,1992,922595.0
TLI4,Inner London - East,1992,1675478.0
TLI5,Outer London - East and North East,1992,1515998.0
TLI6,Outer London - South,1992,1087926.0
TLI7,Outer London - West and North West,1992,1627411.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1992,1977879.0
TLJ2,"Surrey, East and West Sussex",1992,2447368.0
TLJ3,Hampshire and Isle of Wight,1992,1702426.0
TLJ4,Kent,1992,1528921.0
TLK3,Cornwall and Isles of Scilly,1992,473042.0
TLK4,Devon,1992,1037431.0
TLK5,West of England,1992,779259.0
TLK6,"North Somerset, Somerset and Dorset",1992,1309830.0
TLK7,Gloucestershire and Wiltshire,1992,1114359.0
TLL3,North Wales,1992,649826.0
TLL4,Mid and South West Wales,1992,838421.0
TLL5,South East Wales,1992,1389427.0
TLM0,Eastern Scotland,1992,871290.0
TLM1,East Central Scotland,1992,887130.0
TLM2,Highlands and Islands,1992,591940.0
TLM3,West Central Scotland,1992,1506830.0
TLM5,North Eastern Scotland,1992,436110.0
TLM9,Southern Scotland,1992,930020.0
TLN0,Northern Ireland,1992,0.0
TLC3,Tees Valley,1993,656208.0
TLC4,"Northumberland, Durham and Tyne & Wear",1993,1937740.0
TLD1,Cumbria,1993,487165.0
TLD3,Greater Manchester,1993,2551015.0
TLD4,Lancashire,1993,1411690.0
TLD6,Cheshire,1993,845859.0
TLD7,Merseyside,1993,1551011.0
TLE1,East Yorkshire and Northern Lincolnshire,1993,878241.0
TLE2,North Yorkshire,1993,716387.0
TLE3,South Yorkshire,1993,1287041.0
TLE4,West Yorkshire,1993,2072473.0
TLF1,Derbyshire and Nottinghamshire,1993,1962528.0
