old_code,new_code,name,note
E06000028,E06000058,Bournemouth,CHD Code_History_Database_(June_2026)
E06000029,E06000058,Poole,CHD Code_History_Database_(June_2026)
E06000048,E06000057,Northumberland,CHD Code_History_Database_(June_2026)
E07000001,E06000056,Mid Bedfordshire,CHD Code_History_Database_(June_2026)
E07000002,E06000055,Bedford,CHD Code_History_Database_(June_2026)
E07000003,E06000056,South Bedfordshire,CHD Code_History_Database_(June_2026)
E07000004,E06000060,Aylesbury Vale,CHD Code_History_Database_(June_2026)
E07000005,E06000060,Chiltern,CHD Code_History_Database_(June_2026)
E07000006,E06000060,South Bucks,CHD Code_History_Database_(June_2026)
E07000007,E06000060,Wycombe,CHD Code_History_Database_(June_2026)
E07000013,E06000050,Chester,CHD Code_History_Database_(June_2026)
E07000014,E06000049,Congleton,CHD Code_History_Database_(June_2026)
E07000015,E06000049,Crewe and Nantwich,CHD Code_History_Database_(June_2026)
E07000016,E06000050,Ellesmere Port & Neston,CHD Code_History_Database_(June_2026)
E07000017,E06000049,Macclesfield,CHD Code_History_Database_(June_2026)
E07000018,E06000050,Vale Royal,CHD Code_History_Database_(June_2026)
E07000019,E06000052,Caradon,CHD Code_History_Database_(June_2026)
E07000020,E06000052,Carrick,CHD Code_History_Database_(June_2026)
E07000021,E06000052,Kerrier,CHD Code_History_Database_(June_2026)
E07000022,E06000052,North Cornwall,CHD Code_History_Database_(June_2026)
E07000023,E06000052,Penwith,CHD Code_History_Database_(June_2026)
E07000024,E06000052,Restormel,CHD Code_History_Database_(June_2026)
E07000025,E06000053,Isles of Scilly,CHD Code_History_Database_(June_2026)
E07000026,E06000063,Allerdale,CHD Code_History_Database_(June_2026)
E07000027,E06000064,Barrow-in-Furness,CHD Code_History_Database_(June_2026)
E07000028,E06000063,Carlisle,CHD Code_History_Database_(June_2026)
E07000029,E06000063,Copeland,CHD Code_History_Database_(June_2026)
E07000030,E06000064,Eden,CHD Code_History_Database_(June_2026)
E07000031,E06000064,South Lakeland,CHD Code_History_Database_(June_2026)
E07000048,E06000058,Christchurch,CHD Code_History_Database_(June_2026)
E07000049,E06000059,East Dorset,CHD Code_History_Database_(June_2026)
E07000050,E06000059,North Dorset,CHD Code_History_Database_(June_2026)
E07000051,E06000059,Purbeck,CHD Code_History_Database_(June_2026)
E07000052,E06000059,West Dorset,CHD Code_History_Database_(June_2026)
E07000053,E06000059,Weymouth and Portland,CHD Code_History_Database_(June_2026)
E07000054,E06000047,Chester-le-Street,CHD Code_History_Database_(June_2026)
E07000055,E06000047,Derwentside,CHD Code_History_Database_(June_2026)
E07000056,E06000047,Durham,CHD Code_History_Database_(June_2026)
E07000057,E06000047,Easington,CHD Code_History_Database_(June_2026)
E07000058,E06000047,Sedgefield,CHD Code_History_Database_(June_2026)
E07000059,E06000047,Teesdale,CHD Code_History_Database_(June_2026)
E07000060,E06000047,Wear Valley,CHD Code_History_Database_(June_2026)
E07000097,E07000242,East Hertfordshire,CHD Code_History_Database_(June_2026)
E07000100,E07000240,St Albans,CHD Code_History_Database_(June_2026)
E07000101,E07000243,Stevenage,CHD Code_History_Database_(June_2026)
E07000104,E07000241,Welwyn Hatfield,CHD Code_History_Database_(June_2026)
E07000150,E06000061,Corby,CHD Code_History_Database_(June_2026)
E07000151,E06000062,Daventry,CHD Code_History_Database_(June_2026)
E07000152,E06000061,East Northamptonshire,CHD Code_History_Database_(June_2026)
E07000153,E06000061,Kettering,CHD Code_History_Database_(June_2026)
E07000154,E06000062,Northampton,CHD Code_History_Database_(June_2026)
E07000155,E06000062,South Northamptonshire,CHD Code_History_Database_(June_2026)
E07000156,E06000061,Wellingborough,CHD Code_History_Database_(June_2026)
E07000157,E06000057,Alnwick,CHD Code_History_Database_(June_2026)
E07000158,E06000057,Berwick-upon-Tweed,CHD Code_History_Database_(June_2026)
E07000159,E06000057,Blyth Valley,CHD Code_History_Database_(June_2026)
E07000160,E06000057,Castle Morpeth,CHD Code_History_Database_(June_2026)
E07000161,E06000057,Tynedale,CHD Code_History_Database_(June_2026)
E07000162,E06000057,Wansbeck,CHD Code_History_Database_(June_2026)
E07000163,E06000065,Craven,CHD Code_History_Database_(June_2026)
E07000164,E06000065,Hambleton,CHD Code_History_Database_(June_2026)
E07000165,E06000065,Harrogate,CHD Code_History_Database_(June_2026)
E07000166,E06000065,Richmondshire,CHD Code_History_Database_(June_2026)
E07000167,E06000065,Ryedale,CHD Code_History_Database_(June_2026)
E07000168,E06000065,Scarborough,CHD Code_History_Database_(June_2026)
E07000169,E06000065,Selby,CHD Code_History_Database_(June_2026)
E07000182,E06000051,Bridgnorth,CHD Code_History_Database_(June_2026)
E07000183,E06000051,North Shropshire,CHD Code_History_Database_(June_2026)
E07000184,E06000051,Oswestry,CHD Code_History_Database_(June_2026)
E07000185,E06000051,Shrewsbury and Atcham,CHD Code_History_Database_(June_2026)
E07000186,E06000051,South Shropshire,CHD Code_History_Database_(June_2026)
E07000187,E06000066,Mendip,CHD Code_History_Database_(June_2026)
E07000188,E06000066,Sedgemoor,CHD Code_History_Database_(June_2026)
E07000189,E06000066,South Somerset,CHD Code_History_Database_(June_2026)
E07000190,E06000066,Taunton Deane,CHD Code_History_Database_(June_2026)
E07000191,E06000066,West Somerset,CHD Code_History_Database_(June_2026)
E07000201,E07000245,Forest Heath,CHD Code_History_Database_(June_2026)
E07000204,E07000245,St Edmundsbury,CHD Code_History_Database_(June_2026)
E07000205,E07000244,Suffolk Coastal,CHD Code_History_Database_(June_2026)
E07000206,E07000244,Waveney,CHD Code_History_Database_(June_2026)
E07000230,E06000054,Kennet,CHD Code_History_Database_(June_2026)
E07000231,E06000054,North Wiltshire,CHD Code_History_Database_(June_2026)
E07000232,E06000054,Salisbury,CHD Code_History_Database_(June_2026)
E07000233,E06000054,West Wiltshire,CHD Code_History_Database_(June_2026)
E07000246,E06000066,Somerset West and Taunton,CHD Code_History_Database_(June_2026)
E08000016,E08000038,Barnsley,CHD Code_History_Database_(June_2026)
E08000019,E08000039,Sheffield,CHD Code_History_Database_(June_2026)
E08000020,E08000037,Gateshead,CHD Code_History_Database_(June_2026)
S12000003,S12000041,Angus,CHD Code_History_Database_(June_2026)
S12000007,S12000042,Dundee City,CHD Code_History_Database_(June_2026)
S12000009,S12000045,East Dunbartonshire,CHD Code_History_Database_(June_2026)
S12000015,S12000047,Fife,CHD Code_History_Database_(June_2026)
S12000022,S12000050,North Lanarkshire,CHD Code_History_Database_(June_2026)
S12000024,S12000048,Perth and Kinross,CHD Code_History_Database_(June_2026)
S12000037,S12000049,Glasgow City,CHD Code_History_Database_(June_2026)
S12000043,S12000049,Glasgow City,CHD Code_History_Database_(June_2026)
S12000044,S12000050,North Lanarkshire,CHD Code_History_Database_(June_2026)
S12000046,S12000049,Glasgow City,CHD Code_History_Database_(June_2026)
W06000007,W06000023,Powys,CHD Code_History_Database_(June_2026)
W06000017,W06000024,Merthyr Tydfil,CHD Code_History_Database_(June_2026)
